Subject,Filename,Onset,Apex,Offset,AU,Expression type,Objective class
spNO.169,i,1647,1653,1665,24,Micro-expression,VII
spNO.210,m,4,4,18,14,Micro-expression,VII
spNO.5,e,1880,1887,1899,R7,Micro-expression,VII
spNO.156,b,38,43,50,24,Micro-expression,VII
spNO.208,e,1757,1764,1777,5,Micro-expression,II
spNO.160,i,4160,4168,4175,17+4,Micro-expression,VII
spNO.204,e,1651,1659,1679,38,Micro-expression,VII
spNO.189,l,1422,1427,1463,14+9,Micro-expression,VII
spNO.203,g,111,119,142,14,Micro-expression,VII
spNO.212,e,1876,1884,1909,R2+R1,Micro-expression,II
spNO.160,e,1498,1504,1519,4,Micro-expression,III
spNO.150,c,2024,2031,2046,14,Micro-expression,VII
spNO.153,j,274,280,288,5,Micro-expression,II
spNO.11,k,375,381,388,24,Micro-expression,VII
spNO.210,c,110,117,135,14,Micro-expression,VII
spNO.39,e,302,310,336,5,Micro-expression,II
spNO.8,l,1366,1372,1388,14,Micro-expression,VII
spNO.189,e,2301,2308,2323,9+14,Micro-expression,VII
spNO.3,e,2200,2204,2225,1,Micro-expression,V
spNO.149,d,112,160,358,T28+14,Micro-expression,VII
spNO.193,g,7,7,79,14,Micro-expression,VII
spNO.1,b,166,175,179,4,Micro-expression,III
spNO.15,j,1564,1571,1573,12,Micro-expression,I
spNO.201,m,360,364,369,2+1,Micro-expression,II
spNO.156,c,2183,2188,2193,4,Micro-expression,III
spNO.216,m,1311,1319,1344,7,Micro-expression,VII
spNO.167,h,85,92,103,2+1,Micro-expression,II
spNO.162,m,191,197,206,4,Micro-expression,III
spNO.169,m,817,825,846,4,Micro-expression,III
spNO.8,c,7,7,76,14,Micro-expression,VII
spNO.142,i,11,11,83,14,Micro-expression,VII
spNO.156,a,340,348,380,2+1,Micro-expression,II
spNO.210,d,2425,2433,2458,14,Micro-expression,VII
spNO.217,c,2302,2310,2318,17,Micro-expression,VII
spNO.6,j,1683,1689,1692,14,Micro-expression,VII
